s_State,s_State-Short,s_State-raw,s_Period,s_Quarter,Broad Type of Service,Services,Benefits ($),Bulk Billed Services,Patient Billed Services,Bulk Billed Benefits ($),Patient Billed Beng Rate (efits ($),MBS Bulk Billing Rate (%),Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($),Schedule Fee ($),Fee Charged ($),Bulk Billed Fee Charged ($),Patient Billed Fee Charged ($)
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Total GP Non-Referred Attendances,779222,39433992.5,590849,188373,31077433.7,8356558.8,0.758255029,36.33518607,39229363,46269614.47,31077433.7,15192180.77
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Total GP Non-Referred Attendances,282142,15746562.95,252390,29752,14411950.5,1334612.45,0.894549553,46.2508651,15723510.65,17120772.04,14411950.5,2708821.54
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Total GP Non-Referred Attendances,525132,26036090.12,326346,198786,17126239.85,8909850.27,0.621455177,42.87580028,25462751.35,34561281,17126239.85,17435041.15
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Total GP Non-Referred Attendances,206,10758.1,165,41,8968.5,1789.6,0.800970874,33.60853659,10758.1,12136.05,8968.5,3167.55
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,534389,7198541.32,532301,2088,7173007.8,25533.52,0.996092734,4.174976054,7198175.85,7207258.67,7173007.8,34250.87
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,151143,1986848.92,150700,443,1981447.2,5401.72,0.997069001,2.482167043,1986775.2,1987948.52,1981447.2,6501.32
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,93526,1156398.95,93154,372,1151812.8,4586.15,0.996022496,1.614247312,1156378.8,1156999.45,1151812.8,5186.65
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,140335,1949217.6,139778,557,1942183.2,7034.4,0.996030926,11.26149013,1948865.9,1955490.25,1942183.2,13307.05
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,52781,675101.4,52403,378,670565.4,4536,0.992838332,0.545634921,675101.4,675307.65,670565.4,4742.25
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,54541,721618.3,54258,283,718298.4,3319.9,0.994811243,1.218551237,721693.75,721963.15,718298.4,3664.75
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,14132,175292.55,14086,46,174745.2,547.35,0.996744976,1.090217391,175297.2,175342.7,174745.2,597.5
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,25349,502430.4,25346,3,502394.4,36,0.999881652,39.45,502430.4,502548.75,502394.4,154.35
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,2573,31525.2,2567,6,31453.2,72,0.997668092,4.166666667,31525.2,31550.2,31453.2,97
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Practice Nurse,9,108,9,0,108,0,1,-,108,108,108,0
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,3257315,245805186,2047308,1210007,138927487.2,106877698.8,0.628526256,44.00930851,280612498.6,299056757.3,138927487.2,160129270.1
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,1023824,75818387.3,617141,406683,41407816.05,34410571.25,0.602780361,42.58371454,86353646.45,93136460.08,41407816.05,51728644.03
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,942391,71781815.98,579201,363190,39535993.55,32245822.43,0.614607949,43.9288231,81673828.55,87736325.24,39535993.55,48200331.69
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,657387,49126262.33,445063,212324,30467966.75,18658295.58,0.677018256,43.00070053,56376600.95,58256343.07,30467966.75,27788376.32
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,253473,18532852.87,189251,64222,12517155.35,6015697.52,0.746631791,45.88857479,21466114.25,21479908.92,12517155.35,8962753.57
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,271998,21548049.42,164958,107040,11058775.6,10489273.82,0.606467695,50.15401616,24541688.05,26916535.31,11058775.6,15857759.71
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,67379,5335056.01,36645,30734,2836169.95,2498886.06,0.543863815,30.38646418,6182163.6,6268953.6,2836169.95,3432783.65
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,9047,665494.95,6017,3030,394684.35,270810.6,0.665082348,60.15475248,760394.15,847763.85,394684.35,453079.5
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,31789,2995741.92,9008,22781,707654.8,2288087.12,0.283368461,62.19457223,3256269.4,4412596.47,707654.8,3704941.67
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Other Allied Health,27,1525.2,24,3,1270.8,254.4,0.888888889,115.2,1793.25,1870.8,1270.8,600
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,8131921,638555935.1,2513019,5618902,210751390,427804545.1,0.309031408,75.82027894,726448032,1007402923,210751390,796651533.4
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,2864646,234354363.6,1014989,1849657,87532094.45,146822269.1,0.354315682,82.93561372,262804920.9,368698763.1,87532094.45,281166668.6
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,2273376,178934492.5,684717,1588659,57577101.6,121357390.9,0.301189508,70.88839408,205305584.7,278184886,57577101.6,220607784.4
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,1475106,112995224.6,394195,1080911,32123021.35,80872203.26,0.267231643,75.5212743,128926479.4,180628781.3,32123021.35,148505759.9
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,581763,43413548.63,201056,380707,16659468.3,26754080.33,0.345597778,59.35932198,50782779.93,64391899.02,16659468.3,47732430.72
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,641974,46810927.43,125329,516645,9275139.45,37535787.98,0.195224417,75.71012595,53380821.16,80227941.9,9275139.45,70952802.45
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,168433,12024572.72,53157,115276,4312094.65,7712478.07,0.3155973,60.82931457,14157510.7,18220531.7,4312094.65,13908437.05
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,26013,1912619.75,10572,15441,878403.75,1034216,0.406412179,85.31579013,2248789.7,3015794.29,878403.75,2137390.54
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,100563,8106039.3,28986,71577,2392515.35,5713523.95,0.288237224,92.28524972,8836740.5,14028629.13,2392515.35,11636113.78
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Specialist Attendances,47,4146.6,18,29,1551.05,2595.55,0.382978723,48.55227273,4405.05,5697.05,1551.05,4146
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,492063,47775792.38,280708,211355,13873876.8,33901915.58,0.570471667,261.7403518,52229957.95,117661084.6,13873876.8,103787207.8
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,168804,16877917.07,99887,68917,4882629.6,11995287.47,0.591733608,327.5548572,18292931.3,43638405.51,4882629.6,38755775.91
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,125514,11825690.5,85071,40443,4023837.9,7801852.6,0.677780965,393.5427865,13222608.9,30108494.94,4023837.9,26084657.04
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,99004,9016398.21,51005,47999,2537650,6478748.21,0.515181205,146.5944205,9849516.45,19469834.34,2537650,16932184.34
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,25864,2626694.25,12653,13211,665447.7,1961246.55,0.489212805,195.6347127,2878809.15,6283807.69,665447.7,5618359.99
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,56178,5803165.95,24043,32135,1400550.05,4402615.9,0.427978924,176.9423393,6208228.7,14196160.02,1400550.05,12795609.97
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,6448,645209.2,2502,3946,121642.45,523566.75,0.388027295,119.9551878,731859.1,1446680.9,121642.45,1325038.45
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,3599,280926.65,2526,1073,93343.45,187583.2,0.701861628,340.043913,311929.5,647750.4,93343.45,554406.95
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Obstetrics,6652,699790.55,3021,3631,148775.65,551014.9,0.454149128,276.4112527,734074.85,1869950.82,148775.65,1721175.17
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,876214,121040421.6,93323,782891,9008954.7,112031466.9,0.106507086,143.8440364,157507869.8,296669186.7,9008954.7,287660232
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,283136,40897078.36,36233,246903,3352733,37544345.36,0.127970304,160.4916889,52672659,101929128.3,3352733,98576395.25
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,225013,30096444.39,23893,201120,2382076.3,27714368.09,0.106184976,117.2210372,39178178.15,72261518.16,2382076.3,69879441.86
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,176438,23950557.81,21471,154967,2075354.7,21875203.11,0.121691472,104.9762572,31480188.39,58427160.04,2075354.7,56351805.34
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,61813,8406154.02,5696,56117,598006.05,7808147.97,0.092148901,181.4211293,11009400.25,20404591.73,598006.05,19806585.68
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,97090,13063326.33,4126,92964,384124.1,12679202.23,0.042496653,217.2753473,17135351.06,32009776.94,384124.1,31625652.84
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,18387,2571402.87,1259,17128,151677.75,2419725.12,0.06847229,72.87308511,3392802.45,5842349.83,151677.75,5690672.08
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,3611,515048.1,123,3488,12605.7,502442.4,0.034062587,114.5043056,683397.35,1250671.61,12605.7,1238065.91
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,10724,1540053.35,522,10202,52377.1,1487676.25,0.048675867,217.4497093,1955417.9,4543136.95,52377.1,4490759.85
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Anaesthetics,2,356.4,0,2,0,356.4,0,-,475.2,853.2,0,853.2
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,34737406,702241446,30327175,4410231,612936260.1,89305185.91,0.873040866,23.8660656,835188342.5,758807360.7,610980245.2,147827115.4
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,12029656,244570677.8,10362177,1667479,212461249.1,32109428.66,0.861385978,26.72964675,290848688.7,262666186.5,211720943.6,50945242.87
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,8537260,168302233.9,7516693,1020567,147558583.4,20743650.45,0.880457313,24.38212151,200077248.1,182744318.8,147024683.4,35719635.41
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,6972863,146676152.6,6112290,860573,128414745.5,18261407.13,0.876582546,25.06785559,174637953.1,158552509.1,128084036.7,30468472.42
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,2438322,46700244.85,2191184,247138,41391672.7,5308572.15,0.898644232,26.46205915,55463936.12,49986728.38,41234687.05,8752041.33
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,3294913,66676591.73,2819359,475554,57008146.15,9668445.58,0.855670241,15.19695893,79422717.95,73513576.12,56877423.7,16636152.42
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,704595,13728852.39,632205,72390,12107399.95,1621452.44,0.897260128,28.8256133,16317267.77,14793283.82,12079449.35,2713834.47
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,264562,5455131.05,257696,6866,5297440.8,157690.25,0.974047671,15.5347032,6410807.14,5543140.23,5279664.8,263475.43
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,494997,10127003.15,435348,59649,8693178.65,1433824.5,0.879496239,18.05403109,12004262.56,11002614.36,8675512.8,2327101.56
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Total Pathology,238,4558.6,223,15,3843.85,714.75,0.93697479,11.95,5461.05,5003.34,3843.85,1159.49
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,6770689,906243753.8,5272258,1498431,723168946.1,183074807.7,0.77868855,97.15049785,973131959.6,1042644551,723168946.1,319475605.2
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,2389531,325762482.4,1882699,506832,263638692.2,62123790.26,0.787894779,86.80904351,349734258.9,365775902.7,263638692.2,102137210.5
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,1712658,224557302.1,1328993,383665,179126809.1,45430493.04,0.775982712,100.7132741,240985623,260737883,179126809.1,81611073.92
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,1384188,185939087.2,1129904,254284,155483392.7,30455694.5,0.81629374,93.48743395,198987027.9,209480246.7,155483392.7,53996854.08
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,470170,60811513.36,356275,113895,46924324.9,13887188.46,0.757757832,93.00586207,65642851.49,70946442.85,46924324.9,24022117.95
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,566539,76278127.73,393436,173103,53390154.25,22887973.48,0.69445528,114.9430785,82300648.88,95748465.75,53390154.25,42358311.5
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,125719,16544876.6,94935,30784,12763505.15,3781371.45,0.755136455,112.8657135,17891881.75,19560492.99,12763505.15,6796987.84
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,38034,4897321.3,32034,6000,4121114.05,776207.25,0.842246411,123.767839,5254620.4,5569391.66,4121114.05,1448277.61
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,83793,11443865.75,53941,29852,7713708.3,3730157.45,0.643741124,115.6222179,12325040.65,14815190.57,7713708.3,7101482.27
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Diagnostic Imaging,57,9177.4,41,16,7245.55,1931.85,0.719298246,105.3333333,10006.65,10535.07,7245.55,3289.52
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,2740505,489385943.9,1142730,1597775,113755962.4,375629981.5,0.416977893,85.01305925,609547109.9,957125266.1,113755962.4,843369303.8
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,932366,167598161.1,428023,504343,44055073.1,123543088,0.459071867,95.52880764,205553846.5,338009402,44055073.1,293954328.9
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,572476,110426519.7,181966,390510,19290743.3,91135776.35,0.317857867,85.33197983,140172923.9,213502519.5,19290743.3,194211776.2
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,687096,108034358.9,354852,332244,32946114.35,75088244.59,0.51645185,85.35555662,132640940.6,204224854.9,32946114.35,171278740.5
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,182989,34278570.19,60250,122739,6114371.15,28164199.04,0.329254764,53.68266513,43618770.02,63991100.97,6114371.15,57876729.82
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,265440,49561191.12,87066,178374,7970930.35,41590260.77,0.328006329,74.87593855,63125539.09,96739407.93,7970930.35,88768477.58
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,55682,11074994.56,16506,39176,1893735.65,9181258.91,0.296433318,53.01193323,14041193.18,20582577.87,1893735.65,18688842.22
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,13896,2175737.48,6753,7143,583230.9,1592506.58,0.485967185,68.21792623,2772712.12,4283884.87,583230.9,3700653.97
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,30547,6233798.18,7309,23238,900888.75,5332909.43,0.239270632,115.5430894,7617838.47,15787562.33,900888.75,14886673.58
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Total Operations,13,2612.65,5,8,874.8,1737.85,0.384615385,-,3346.05,3955.8,874.8,3081
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,2266467,105995798.1,2136388,130079,99945392.95,6050405.1,0.94260715,25.35554624,124443785.3,109294022.2,99945392.95,9348629.2
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,738726,34299171.3,701232,37494,32538425.2,1760746.1,0.949245052,25.69237585,40273701.35,35262481.24,32538425.2,2724056.04
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,577564,27209088.55,538412,39152,25341366.85,1867721.7,0.932211841,25.68567481,31931548.7,28214734.09,25341366.85,2873367.24
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,474284,22007322.45,448539,25745,20861205.8,1146116.65,0.945718177,24.65563488,25831843.6,22642081.77,20861205.8,1780875.97
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,161151,7519010.3,153588,7563,7176444.2,342566.1,0.953068861,23.48027238,8837375.8,7696591.6,7176444.2,520147.4
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,211087,10072262.25,199598,11489,9539857.35,532404.9,0.945572205,24.71421795,11831273.5,10356203.9,9539857.35,816346.55
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,50091,2357639.9,46930,3161,2209191.05,148448.85,0.936894851,17.90798798,2771361.45,2414247.05,2209191.05,205056
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,16522,773724.15,15678,844,736107.45,37616.7,0.948916596,27.75266588,909375.1,797147.4,736107.45,61039.95
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,37027,1756843.15,32397,4630,1542087.5,214755.65,0.874956113,33.03399568,2056440.25,1909790.55,1542087.5,367703.05
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Optometry,15,736,14,1,707.55,28.45,0.933333333,8.55,865.55,744.55,707.55,37
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,580905,118634391.5,440854,140051,74574601.75,44059789.79,0.758908944,48.60003075,113459886.8,126152608.7,74574601.75,51578006.92
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,173940,35004522.55,135782,38158,22875843.95,12128678.6,0.780625503,48.06855981,33570553.92,37041449.88,22875843.95,14165605.93
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,139183,27908576,104959,34224,17947774.2,9960801.8,0.754107901,45.91437372,27508659.85,29732459.58,17947774.2,11784685.38
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,126652,26274143.65,91547,35105,15741423.15,10532720.5,0.722823169,46.1428291,24854729,28110668.49,15741423.15,12369245.34
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,42681,10641695.2,25632,17049,4438304.95,6203390.25,0.600548253,55.71284699,8883513.4,11622061.8,4438304.95,7183756.85
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,75063,15091859.44,60576,14487,10147882,4943977.44,0.807002118,52.66924356,14540015.2,15858723.74,10147882,5710841.74
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,14557,2255424.35,14021,536,2137374.15,118050.2,0.963179226,30.43754673,2532909.35,2287183.57,2137374.15,149809.42
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,3104,521837.3,2971,133,481006.45,40830.85,0.957152062,52.93164063,579349.65,528919.85,481006.45,47913.4
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,5725,936333.05,5366,359,804992.9,131340.15,0.937292576,87.47323988,990156.45,971141.76,804992.9,166148.86
Australia,AU,Australia,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,3021874,441465048.4,1788096,1233778,290982495.7,150482552.7,0.59171759,110.6586185,492875037.5,543556437.5,290982495.7,252573941.9
New South Wales,NSW,NSW,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,1026489,152701378.8,638290,388199,102271836.7,50429542.13,0.621818646,113.1464788,170385490.8,186685094.7,102271836.7,84413258.05
Victoria,VIC,Vic,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,755487,110989639.8,467023,288464,73586286.2,37403353.59,0.618174767,137.2850774,122888209.5,137894512.7,73586286.2,64308226.48
Queensland,QLD,Qld,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,634896,89426772.77,338743,296153,58895035.7,30531737.07,0.533540926,97.12646602,100763511.1,109504341.3,58895035.7,50609305.55
South Australia,SA,SA,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,216428,32186823.75,116598,99830,21140858.55,11045965.2,0.538738056,73.43471377,36570514.6,38940410.97,21140858.55,17799552.42
Western Australia,WA,WA,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,270039,37128707.56,154129,115910,22841616.45,14287091.11,0.570765704,101.7209309,41429289.58,47332419.25,22841616.45,24490802.8
Tasmania,TAS,Tas,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,66527,10206317.84,41411,25116,7039037.35,3167280.49,0.622469073,74.24824347,11448511.15,11837560.3,7039037.35,4798522.95
Northern Territory,NT,NT,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,15122,3053847.5,11355,3767,2141291.5,912556,0.750892739,274.4046049,3338826.75,3652960.16,2141291.5,1511668.66
Australian Capital Territory,ACT,ACT,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,36850,5766834.1,20525,16325,3064228.15,2702605.95,0.556987788,150.3149755,6045955.3,7701949.25,3064228.15,4637721.1
Unknown,UNK,Unk,1/9/2017,2017-18 Q1 (Sep Qtr),Other MBS Services,36,4726.25,22,14,2305.05,2421.2,0.611111111,216.99,4728.75,7188.9,2305.05,4883.85
Australia,AU,Australia,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,102073550,5664770536,80474338,21599212,3965938911,1698831624,0.788395603,63.59114782,6231995814,7289366287,3963889798,3325476489
New South Wales,NSW,NSW,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,34551616,1937520858,27590512,6961104,1386919348,550601510,0.798530292,69.09330847,2127055009,2487581235,1386137758,1101443477
Victoria,VIC,Vic,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,26181183,1440873473,20458705,5722478,993052982.4,447820490.2,0.781427829,62.63428298,1587134887,1853473044,992556239.1,860916804.7
Queensland,QLD,Qld,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,20534892,1149986309,16274760,4260132,822887834.4,327098474.7,0.792541787,60.66671191,1263930329,1462383635,822527862.2,639855772.4
South Australia,SA,SA,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,7327940,401335944.8,5831981,1495959,280167461.3,121168483.5,0.795855452,52.38843213,442479762,503079835.9,279939796.2,223140039.8
Western Australia,WA,WA,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,9341155,508968909.5,7175948,2165207,332140648.5,176828261,0.768207786,64.85017712,562084929.4,680743995.4,332017572.4,348726423
Tasmania,TAS,Tas,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,2059002,115799499.4,1565137,493865,77694248.15,38105251.23,0.760143506,49.97779375,128942166.9,148771183.3,77666937.55,71104245.73
Northern Territory,NT,NT,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,707241,36125913.07,631941,75300,29628554.15,6497358.92,0.893529928,74.22096237,39181039.45,43272572.69,29613995.75,13658576.94
Australian Capital Territory,ACT,ACT,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,1369793,74116796.62,944795,424998,43421883.1,30694913.52,0.689735602,67.13638104,81141534.58,110002972.2,43403685.65,66599286.58
Unknown,UNK,Unk,1/6/2017,2016-17 Q4 (Jun Qtr),Total Medicare,728,42832.7,559,169,25951.6,16881.1,0.767857143,100.5297468,46156.7,57814.8,25951.6,31863.2
Australia,AU,Australia,1/6/2017,2016-17 Q4 (Jun Qtr),Total GP Non-Referred Attendances,38570764,1922333162,33334746,5236018,1688848348,233484814.4,0.864249046,37.1576989,1918528965,2116673551,1688848348,427825203.1
New South Wales,NSW,NSW,1/6/2017,2016-17 Q4 (Jun Qtr),Total GP Non-Referred Attendances,12812305,639403404.3,11426147,1386158,576977476,62425928.34,0.891810412,36.50467679,638028595,689732923.2,576977476,112755447.2
Victoria,VIC,Vic,1/6/2017,2016-17 Q4 (Jun Qtr),Total GP Non-Referred Attendances,10079435,492541936.5,8644240,1435195,428212755.5,64329180.98,0.857611563,37.0361617,491490204.9,545588393.4,428212755.5,117375637.9
Queensland,QLD,Qld,1/6/2017,2016-17 Q4 (Jun Qtr),Total GP Non-Referred Attendances,7770439,396836578.2,6715375,1055064,349856439.5,46980138.74,0.864220799,37.58323834,396093993.9,436748476.4,349856439.5,86892036.93
South Australia,SA,SA,1/6/2017,2016-17 Q4 (Jun Qtr),Total GP Non-Referred Attendances,2801019,139411713.1,2399487,401532,121359661.3,18052051.8,0.856647884,32.06235517,139395813,152293557.6,121359661.3,30933896.28
Western Australia,WA,WA,1/6/2017,2016-17 Q4 (Jun Qtr),Total GP Non-Referred Attendances,3557159,176280409.9,2977964,579195,151151312.5,25129097.45,0.837174835,39.07593768,175919331,198875825.8,151151312.5,47724513.3
